Hello,Hey!
hey!,Greetings!
how are yoU,I am Zobo
who are you,I am Zobo
what are you,I am Zobo
what is your name,Zobo
recommend me some courses please,{'For what do you want a course': None}
recommend me a course,{'For what do you want a course': None}
azure,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=azure'>azure</a>
Hello,Hey!
recommend me some courses,{'For what do you want a course': None}
Hello,Hey!
hi,Hello!
how are you,I am Zobo
great,Is there a different way you can ask that?<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=great'>great</a>
lol,I don't really know what you are asking.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=lol'>lol</a>
bye,I don't have a response for that.<br><br>You can try this from my friend Google: <a target='_blank' href='https://www.google.com/search?q=bye'>bye</a>
what are you,I am Zobo
what are you,I am Zobo
what is your name,Zobo
Hello,Hey!
hi,Hello!
hi,Hello!
hi,Hello!
how are you,I am Zobo
Hello,Hey!
Hello,Hey!
Hello,Hey!
what daYis IT,"Today is Thursday, 10/3/2019"
Hello,Hello
hi,hi
how are you,how are you
good,good
Hello,Hello
eligibility criteria for cse,eligibility criteria for cse
Hello,Hello World!
hi,Hello World!
how are you,I am a Python powered ChatBot.
Hello,Hello
hi,hi
what is blockchain,what is blockchain
What is a blockchain?,"For practical purposes, a blockchain serves as a digital and decentralized ledger with a variety of applications."
What is blockchain?,"For practical purposes, a blockchain serves as a digital and decentralized ledger with a variety of applications."
Why is blockchain better?,"Blockchain takes away the control of records and therefore the scope of tampering away from a single entity and distributes it to everyone in the chain. Further, VAC has three levels of security namely, peer approval, proof of work and signed transactions."
Why is blockchain so popular?,"Blockchain takes away the control of records and therefore the scope of tampering away from a single entity and distributes it to everyone in the chain. Further, VAC has three levels of security namely, peer approval, proof of work and signed transactions."
How is blockchain safe?,"Blockchain takes away the control of records and therefore the scope of tampering away from a single entity and distributes it to everyone in the chain. Further, VAC has three levels of security namely, peer approval, proof of work and signed transactions."
Is a blockchain safe?,"Blockchain is an advent in the sphere of cyber security. While it is not technically impossible to take over a blockchain for a hacker, it is definitely virtually so. In order to gain control over the ledger, the hacker’s changes would require the approval and proof of work of over 50% of the blocks in the chain and the digital signatures pertaining to each of the blocks."
Can a blockchain be hacked? ,"Blockchain is an advent in the sphere of cyber security. While it is not technically impossible to take over a blockchain for a hacker, it is definitely virtually so. In order to gain control over the ledger, the hacker’s changes would require the approval and proof of work of over 50% of the blocks in the chain and the digital signatures pertaining to each of the blocks."
Why are blockchain stocks rising?,"Coupled with its status as the most secure manner of holding assets virtually and the digital shift in people’s lives across the globe, blockchain is the most sought after technological front in the world at the moment and for the future."
Why should I invest in blockchain? ,"Coupled with its status as the most secure manner of holding assets virtually and the digital shift in people’s lives across the globe, blockchain is the most sought after technological front in the world at the moment and for the future."
Why is it better to invest in blockchains?,"Coupled with its status as the most secure manner of holding assets virtually and the digital shift in people’s lives across the globe, blockchain is the most sought after technological front in the world at the moment and for the future."
How do other people in the blockchain approve of a transaction?, Proof of work is often an inconsequential mathematical equation that the people in the blockchain solve in order to add a proposed transaction to the chain. The people solving the equation get incentive for performing the task and this is referred to as mining. This ensures that a transaction cannot immediately be approved and added to the chain thereby maintaining the sanctity of the chain.
What is mining?, Proof of work is often an inconsequential mathematical equation that the people in the blockchain solve in order to add a proposed transaction to the chain. The people solving the equation get incentive for performing the task and this is referred to as mining. This ensures that a transaction cannot immediately be approved and added to the chain thereby maintaining the sanctity of the chain.
What is proof of work?, Proof of work is often an inconsequential mathematical equation that the people in the blockchain solve in order to add a proposed transaction to the chain. The people solving the equation get incentive for performing the task and this is referred to as mining. This ensures that a transaction cannot immediately be approved and added to the chain thereby maintaining the sanctity of the chain.
Effect of size of blockchain?,"As a blockchain grows, the amount of control each person has over transactions decreases thereby making it more secure. Therefore, with popularity and security, being a part of the chain or holding assets in the chain becomes more desirable and hence more profitable/sought after."
What are signed transactions?,"Like signatures in real life, digital signatures in a blockchain are characterised by two keys, namely, private and public key. In order to make a transaction, a person would require both the keys so as to bypass the third layer of security."
What are digital signatures?,"Like signatures in real life, digital signatures in a blockchain are characterised by two keys, namely, private and public key. In order to make a transaction, a person would require both the keys so as to bypass the third layer of security."
Hello,Hello World!
hi,Hello World!
how are you?,I am a Python powered ChatBot.
what is blockchain,"For practical purposes, a blockchain serves as a digital and decentralized ledger with a variety of applications."
Hello,Hello World!
hi,Hello World!
what is blockchain,"For practical purposes, a blockchain serves as a digital and decentralized ledger with a variety of applications."
is blockchain safe?,"Blockchain is an advent in the sphere of cyber security. While it is not technically impossible to take over a blockchain for a hacker, it is definitely virtually so. To gain control over the ledger, the hacker changes would require the approval and proof of work of over fifty percent of the blocks in the chain and the digital signatures pertaining to each of the blocks."
Hello,Hello World!
Hello,Hello World!
Hello,Hello World!
hi,Hello World!
what is blockchain,"For practical purposes, a blockchain serves as a digital and decentralized ledger with a variety of applications."
is blockchain safe,"Blockchain is an advent in the sphere of cyber security. While it is not technically impossible to take over a blockchain for a hacker, it is definitely virtually so. To gain control over the ledger, the hacker changes would require the approval and proof of work of over fifty percent of the blocks in the chain and the digital signatures pertaining to each of the blocks."
